core.externalId,core.name,Parent: Domain,core.description,core.assetLifecycle,com.infa.ccgf.models.governance.Examples,com.infa.ccgf.models.governance.AliasNames,com.infa.ccgf.models.governance.securityClassification,com.infa.ccgf.models.governance.isCDE,com.infa.ccgf.models.governance.BusinessLogic,com.infa.ccgf.models.governance.FormatType,com.infa.ccgf.models.governance.FormatDescription,com.infa.odin.models.custom.ca_2803371744696693901,com.infa.odin.models.custom.ca_8064109193743477671,com.infa.odin.models.custom.ca_4722202779016415152,com.infa.odin.models.custom.ca_2840487355700788956,com.infa.odin.models.custom.ca_5721373305792938749,com.infa.odin.models.custom.ca_4744340243104249960,com.infa.odin.models.custom.ca_5501575348304705512,com.infa.odin.models.custom.ca_7656213080573243540,com.infa.odin.models.custom.ca_9096396670683190904,com.infa.odin.models.custom.ca_6663116801421585081,Classifications,Stakeholder: Governance Administrator,Stakeholder: Governance Owner,Stakeholder: System Admin,Stakeholder: DG Admin,Stakeholder: Technical Data Steward,Stakeholder: Force delete,Stakeholder: DQ Analyst,Stakeholder: DG Viewer,Stakeholders Type,Reference Data,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
BT-229,Asset ID,Asset | DOM-7,Unique identifier assigned to each asset.,Published,,"",,false,,Text,,,,,,,,,,,Confidential,"",Data Steward group,"","","","","","","",Assigned,"",Asset/Asset ID,Update,"Apr 16, 2025, 10:04:46 AM",manoj_GE,"May 05, 2025, 05:35:06 PM",Arjun_Dev,1130d01e-e9ba-45e7-afaa-4fb0f933097f,CDGC://c602bee1-ee44-4871-a74f-1dab25c23229/1130d01e-e9ba-45e7-afaa-4fb0f933097f,CDGC
BT-217,Customer Status,Customer | DOM-6,Current status of the customer in the system,Published,,,,false,,Text,,,,,,,,,,,Confidential,"",Data Steward group,"","","","","","","",Assigned,"",Customer/Customer Status,Update,"Mar 05, 2025, 03:38:29 PM",manoj_GE,"May 05, 2025, 05:35:54 PM",Arjun_Dev,134c3377-6fda-41d7-8138-6601e08c4fe0,CDGC://0de78700-07cd-47e0-a71a-65c3a24da16e/134c3377-6fda-41d7-8138-6601e08c4fe0,CDGC
BT-276,Asset Category,Asset | DOM-7,Broad grouping used for reporting and governance.,Published,,"",,false,,Text,,,,,,,,,,,Confidential,"",Data Steward group,"","","","","","","",Assigned,"",Asset/Asset Category,Update,"Apr 17, 2025, 07:57:09 PM",manoj_GE,"May 05, 2025, 05:34:53 PM",Arjun_Dev,5c9012ec-b2c9-4c82-a04e-cc6fcdeddba8,CDGC://c602bee1-ee44-4871-a74f-1dab25c23229/5c9012ec-b2c9-4c82-a04e-cc6fcdeddba8,CDGC
BT-200,Customer Address,Customer | DOM-6,<p>Mailing or billing address associated with the customer.</p><p><br></p><p>Modifed</p>,Published,,,,true,,Text,,,,,,,,,,,Highly Confidential,"",Data Steward group,"","","","","","","",Assigned,"",Customer/Customer Address,Update,"Dec 07, 2024, 03:51:30 AM",manoj_GE,"May 22, 2025, 03:51:52 PM",Arjun_Dev,87de940d-b54b-42b8-ab19-6cf8afc6a91d,CDGC://0de78700-07cd-47e0-a71a-65c3a24da16e/87de940d-b54b-42b8-ab19-6cf8afc6a91d,CDGC
BT-348,Supplier Status,Supplier | DOM-11,"Indicates whether the supplier is active, inactive, or under review.",Published,,,,false,,Text,,,,,,,,,,,Confidential,"",Data Steward group,"","","","","","","",Assigned,"",Supplier/Supplier Status,Update,"May 01, 2025, 02:52:50 PM",manoj_GE,"May 05, 2025, 05:34:14 PM",Arjun_Dev,b08e13ab-29fe-4bec-8945-b77c43087e6b,CDGC://11a09104-7489-402e-895d-53ed6a3abd97/b08e13ab-29fe-4bec-8945-b77c43087e6b,CDGC
BT-355,Supplier ID,Supplier | DOM-11,Unique identifier assigned to each supplier.,Published,,,,false,,Text,,,,,,,,,,,Confidential,"",Data Steward group,"","","","","","","",Assigned,"",Supplier/Supplier ID,Update,"May 04, 2025, 01:36:03 AM",Arjun_Dev,"May 04, 2025, 01:36:03 AM",Arjun_Dev,277051b2-6aae-48bf-b5b8-534853ad3bc7,CDGC://11a09104-7489-402e-895d-53ed6a3abd97/277051b2-6aae-48bf-b5b8-534853ad3bc7,CDGC
BT-244,Asset Name,Asset | DOM-7,Descriptive or official name of the asset,Published,,testing version,,false,,Text,,,,,,,,,,,Confidential,"",Data Steward group,"","","","","","","",Assigned,"",Asset/Asset Name,Update,"Apr 16, 2025, 04:16:14 PM",manoj_GE,"May 05, 2025, 05:35:20 PM",Arjun_Dev,3572c56b-7570-46b5-bfb6-9212326933fa,CDGC://c602bee1-ee44-4871-a74f-1dab25c23229/3572c56b-7570-46b5-bfb6-9212326933fa,CDGC
BT-236,Customer Type,Customer | DOM-6,Classification of the customer.,Published,,,,true,,Text,,,,,,,,,,,Highly Confidential,"",Data Steward group,"","","","","","","",Assigned,"",Customer/Customer Type,Update,"Apr 16, 2025, 04:16:14 PM",manoj_GE,"May 01, 2025, 03:13:26 PM",manoj_GE,662224db-3827-4afd-b230-0d8ee3196367,CDGC://0de78700-07cd-47e0-a71a-65c3a24da16e/662224db-3827-4afd-b230-0d8ee3196367,CDGC
BT-347,Supplier Type,Supplier | DOM-11,"Classification of the supplier based on business relationship (e.g., manufacturer, distributor)",Published,,,,false,,Text,,,,,,,,,,,Confidential,"",Data Steward group,"","","","","","","",Assigned,"",Supplier/Supplier Type,Update,"May 01, 2025, 02:52:16 PM",manoj_GE,"May 05, 2025, 05:34:36 PM",Arjun_Dev,afe117e7-2159-45d0-b942-28e5ca835bdc,CDGC://11a09104-7489-402e-895d-53ed6a3abd97/afe117e7-2159-45d0-b942-28e5ca835bdc,CDGC
BT-358,Supplier Address,Supplier | DOM-11,,Published,,,,false,,Text,,,,,,,,,,,Confidential,"",Data Steward group,"","","","","","","",Assigned,"",Supplier/Supplier Address,Update,"May 22, 2025, 03:52:43 PM",Arjun_Dev,"May 22, 2025, 03:52:46 PM",Arjun_Dev,d3449b89-aca5-4aeb-a0bf-c4244213ea06,CDGC://11a09104-7489-402e-895d-53ed6a3abd97/d3449b89-aca5-4aeb-a0bf-c4244213ea06,CDGC
BT-306,Asset Type,Asset | DOM-7,Classification of the asset based on its nature,Published,,testing version,,false,,Text,,,,,,,,,,,Confidential,"",Data Steward group,"","","","","","","",Assigned,"",Asset/Asset Type,Update,"Apr 23, 2025, 11:42:10 PM",manoj_GE,"May 05, 2025, 05:35:34 PM",Arjun_Dev,1bd26c34-4d21-4f8d-96c0-ac9b21869ba2,CDGC://c602bee1-ee44-4871-a74f-1dab25c23229/1bd26c34-4d21-4f8d-96c0-ac9b21869ba2,CDGC
BT-268,Customer Id,Customer | DOM-6,Unique identifier assigned to a customer,Published,,,,true,,Text,,,,,,,,,,,Highly Confidential,"",Data Steward group,"","","","","","","",Assigned,"",Customer/Customer Id,Update,"Apr 17, 2025, 07:57:09 PM",manoj_GE,"May 01, 2025, 03:12:09 PM",manoj_GE,7ef28a6a-c4cf-4cc5-b6ac-609d7fe8fe9f,CDGC://0de78700-07cd-47e0-a71a-65c3a24da16e/7ef28a6a-c4cf-4cc5-b6ac-609d7fe8fe9f,CDGC
BT-326,Customer Name,Customer | DOM-6,Full legal name of the customer (individual or organization).,Published,,,,true,,Text,,,,,,,,,,,Highly Confidential,"",Data Steward group,"","","","","","","",Assigned,"",Customer/Customer Name,Update,"Apr 23, 2025, 11:42:10 PM",manoj_GE,"May 01, 2025, 03:28:38 PM",manoj_GE,95cdff3d-8160-4b21-828f-059fa4c9b110,CDGC://0de78700-07cd-47e0-a71a-65c3a24da16e/95cdff3d-8160-4b21-828f-059fa4c9b110,CDGC
BT-349,Supplier Onboarding Date,Supplier | DOM-11,Date when the supplier was officially registered or approved,Published,,,,false,,Text,,,,,,,,,,,Confidential,"",Data Steward group,"","","","","","","",Assigned,"",Supplier/Supplier Onboarding Date,Update,"May 01, 2025, 02:53:19 PM",manoj_GE,"May 05, 2025, 05:33:48 PM",Arjun_Dev,c3972518-6b13-4dbd-8363-7bbdd32671f7,CDGC://11a09104-7489-402e-895d-53ed6a3abd97/c3972518-6b13-4dbd-8363-7bbdd32671f7,CDGC
BT-357,Supplier State,Supplier | DOM-11,,Published,,,,false,,Text,,,,,,,,,,,Confidential,"",Data Steward group,"","","","","","","",Assigned,"",Supplier/Supplier State,Update,"May 22, 2025, 03:52:20 PM",Arjun_Dev,"May 22, 2025, 03:52:24 PM",Arjun_Dev,9eda899f-7b66-483d-91fc-6672d1a7186f,CDGC://11a09104-7489-402e-895d-53ed6a3abd97/9eda899f-7b66-483d-91fc-6672d1a7186f,CDGC
